epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1907.81,1.2463,0.58344,1.29421,0.99094,0.99211,0.99273,0.64459,1.26387,0.567,1.26037,0.00059,0.00059,0.00059
82,1921.29,1.27442,0.58119,1.30544,0.97053,0.97087,0.97109,0.53708,1.62692,0.65825,1.4139,0.00058175,0.00058175,0.00058175
83,1935.84,1.25043,0.58135,1.29735,0.96274,0.98191,0.97864,0.55455,1.55166,0.66337,1.36599,0.0005735,0.0005735,0.0005735
84,1949.17,1.25575,0.56765,1.30317,0.98787,0.9859,0.98757,0.61408,1.38978,0.55095,1.32884,0.00056525,0.00056525,0.00056525
85,1963.56,1.22606,0.55928,1.28226,0.96842,0.97016,0.97277,0.55277,1.58729,0.60382,1.40196,0.000557,0.000557,0.000557
86,1977.42,1.24281,0.56563,1.29812,0.96621,0.96585,0.97323,0.56311,1.52675,0.64683,1.36355,0.00054875,0.00054875,0.00054875
87,1998.83,1.24341,0.57284,1.29827,0.98707,0.99129,0.98807,0.64719,1.25849,0.551,1.27302,0.0005405,0.0005405,0.0005405
88,2011.83,1.24792,0.55804,1.29539,0.96312,0.98383,0.9788,0.58157,1.48819,0.58067,1.35107,0.00053225,0.00053225,0.00053225
89,2025.1,1.23925,0.55527,1.29236,0.984,0.98177,0.98549,0.56509,1.56791,0.57764,1.37839,0.000524,0.000524,0.000524
90,2038.19,1.22298,0.54235,1.29338,0.96618,0.97348,0.98028,0.56793,1.53251,0.62637,1.35705,0.00051575,0.00051575,0.00051575
91,2050.55,1.21839,0.55055,1.28084,0.98514,0.98607,0.98746,0.57862,1.53642,0.57605,1.38309,0.0005075,0.0005075,0.0005075
92,2063.02,1.20006,0.53688,1.28292,0.9886,0.98965,0.98942,0.62627,1.39773,0.55445,1.31566,0.00049925,0.00049925,0.00049925
93,2075.71,1.20474,0.54236,1.27028,0.96777,0.96892,0.97017,0.56379,1.57168,0.59656,1.37331,0.000491,0.000491,0.000491
94,2088.81,1.21659,0.53898,1.2708,0.96805,0.97514,0.97885,0.56593,1.55437,0.62761,1.3516,0.00048275,0.00048275,0.00048275
95,2102.46,1.21471,0.55453,1.27358,0.94992,0.95929,0.96993,0.56543,1.538,0.62278,1.34641,0.0004745,0.0004745,0.0004745
96,2115.23,1.20815,0.55013,1.27457,0.97282,0.97605,0.97947,0.6004,1.4171,0.57645,1.30628,0.00046625,0.00046625,0.00046625
97,2128.36,1.20663,0.54555,1.28446,0.97465,0.97637,0.9806,0.61416,1.39156,0.5812,1.31327,0.000458,0.000458,0.000458
98,2163.73,1.22427,0.5476,1.28508,0.97,0.98203,0.98217,0.57086,1.52884,0.62082,1.36129,0.00044975,0.00044975,0.00044975
99,2175.83,1.23205,0.55244,1.299,0.95751,0.97389,0.97451,0.60702,1.36199,0.58769,1.28282,0.0004415,0.0004415,0.0004415
100,2187.74,1.21074,0.55313,1.27419,0.98847,0.98923,0.98724,0.63563,1.30505,0.55239,1.27221,0.00043325,0.00043325,0.00043325
101,2200.01,1.2121,0.54405,1.27796,0.9655,0.97248,0.97163,0.54404,1.6618,0.63448,1.39973,0.000425,0.000425,0.000425
102,2218.77,1.2172,0.54704,1.28018,0.98536,0.9841,0.98362,0.60245,1.44043,0.53674,1.31156,0.00041675,0.00041675,0.00041675
103,2232.58,1.20139,0.54023,1.26781,0.98094,0.98257,0.98083,0.62716,1.30405,0.54789,1.26455,0.0004085,0.0004085,0.0004085
104,2246.4,1.1967,0.53089,1.26066,0.97421,0.97804,0.97411,0.55392,1.60966,0.58641,1.37417,0.00040025,0.00040025,0.00040025
105,2259,1.20539,0.53247,1.26799,0.97935,0.97886,0.97949,0.57661,1.53523,0.60946,1.36528,0.000392,0.000392,0.000392
106,2271.25,1.17894,0.52808,1.27028,0.9839,0.9828,0.98196,0.58799,1.47515,0.54723,1.35448,0.00038375,0.00038375,0.00038375
